facet_raw,facet_name,inferrable,category,description,score_anchor_1,score_anchor_3,score_anchor_5,polarity,weight
Aloofness,Aloofness,True,Personality,This facet measures the extent to which a conversation turn conveys a sense of detachment or distance from others.,"The speaker is highly engaged, showing interest in others and their thoughts, and actively participating in the conversation.","The speaker is somewhat reserved but still contributes to the conversation, without appearing overly distant or disconnected.","The speaker consistently appears uninterested, unresponsive, or indifferent to others, creating a sense of emotional distance.",negative,1.0
Genuine,Genuine,True,Personality,This facet measures the extent to which a conversation turn expresses sincerity and authenticity.,"The speaker's words or actions seem insincere, manipulative, or lacking in authenticity.","The speaker's intentions and feelings are somewhat ambiguous, making it difficult to discern their genuine nature.","The speaker consistently expresses themselves in a straightforward, honest, and transparent manner, without pretenses.",positive,1.0
Determinedness,Determinedness,True,Behavioral,"This facet measures the extent to which a conversation turn displays resolve, firmness, or decisiveness.","The speaker appears indecisive, lacking direction, or hesitant to commit to a course of action.",The speaker shows some degree of determination but may waver or express uncertainty at times.,"The speaker consistently demonstrates a strong sense of purpose, resolve, and commitment to their goals or beliefs.",positive,1.0
Pure Challenge,Pure Challenge,True,General,"This facet measures the extent to which a conversation turn presents a direct, uncompromising, or forceful stance.","The speaker's approach is accommodating, flexible, and open to compromise, avoiding direct confrontation.",The speaker occasionally takes a firm stance but is also willing to listen and consider alternative perspectives.,"The speaker consistently adopts a forceful, uncompromising attitude, directly challenging others without hesitation.",neutral,1.0
Openness,Openness,True,Personality,"This facet measures the extent to which a conversation turn exhibits receptivity to new ideas, experiences, or perspectives.","The speaker is rigid, close-minded, and resistant to new ideas or alternative viewpoints.",The speaker is somewhat open to new experiences but may also express reservations or skepticism at times.,"The speaker consistently displays a curious, open-minded, and adventurous attitude, embracing new ideas and experiences.",positive,1.0
SelfEsteem,SelfEsteem,True,General,"This facet measures the extent to which a conversation turn reflects confidence, self-worth, or a positive self-image.","The speaker expresses significant self-doubt, insecurity, or a lack of confidence in their abilities.",The speaker occasionally displays confidence but also expresses some uncertainty or self-deprecation.,"The speaker consistently demonstrates a strong sense of self-worth, confidence, and faith in their capabilities.",positive,1.0
Comparing alphanumeric data,Comparing alphanumeric data,True,Cognitive,This facet measures the extent to which a conversation turn involves discussing or analyzing numerical or alphabetical data.,The conversation does not involve any comparison or discussion of alphanumeric data.,"The speaker occasionally references or compares some alphanumeric data, but it is not a central aspect of the conversation.","The speaker consistently engages in detailed comparisons, analyses, or discussions of complex alphanumeric data.",neutral,1.0
Big-heartedness,Big-heartedness,True,Social,"This facet measures the extent to which a conversation turn exhibits kindness, generosity, or a willingness to help others.","The speaker shows no concern for others' well-being, appearing selfish or uncaring.","The speaker occasionally displays some empathy or willingness to assist others, but it is not a dominant trait.","The speaker consistently demonstrates a strong sense of compassion, generosity, and a genuine desire to help or support others.",positive,1.0
Compulsive activities,Compulsive activities,True,Behavioral,"This facet measures the extent to which a conversation turn involves discussing or engaging in repetitive, habitual, or obsessive behaviors.",The speaker does not mention or exhibit any compulsive behaviors or habits.,The speaker occasionally references a habit or routine but does not appear overly fixated on it.,"The speaker consistently discusses or displays compulsive behaviors, such as repetitive actions or obsessive thoughts.",negative,1.0
Disrespect,Disrespect,True,Safety/Ethics,"This facet measures the extent to which a conversation turn exhibits rudeness, contempt, or a lack of regard for others.","The speaker treats others with respect, kindness, and consideration, avoiding hurtful or demeaning comments.",The speaker occasionally uses slightly sarcastic or dismissive language but generally maintains a respectful tone.,"The speaker consistently displays disdain, mockery, or contempt towards others, using derogatory language or tone.",negative,1.0
FSH level,FSH level,False,General,,,,,,1.0
Self Perspective,Self Perspective,True,General,"This facet measures the extent to which a conversation turn reflects self-awareness, introspection, or personal insight.","The speaker shows little to no self-awareness, failing to recognize their own thoughts, feelings, or motivations.","The speaker occasionally displays some self-awareness, acknowledging their emotions or thoughts, but may not fully understand their implications.","The speaker consistently demonstrates a deep understanding of their own perspectives, emotions, and motivations, exhibiting high self-awareness.",positive,1.0
Desperation,Desperation,True,Emotional,"This facet measures the extent to which a conversation turn conveys a sense of urgency, hopelessness, or distress.","The speaker appears calm, composed, and in control, showing no signs of desperation or anxiety.",The speaker occasionally expresses some concern or frustration but does not appear overwhelmed or desperate.,"The speaker consistently displays a sense of extreme urgency, hopelessness, or distress, often accompanied by pleas for help or rescue.",negative,1.0
Anatomy knowledge,Anatomy knowledge,True,General,This facet measures the extent to which a conversation turn demonstrates knowledge or understanding of human anatomy.,"The speaker shows no evidence of anatomy knowledge, using incorrect terms or displaying confusion.",The speaker occasionally references basic anatomical concepts but may not fully understand their relationships or functions.,"The speaker consistently demonstrates in-depth knowledge of human anatomy, accurately describing complex structures and their interactions.",positive,1.0
Passive-Aggressive,Passive-Aggressive,True,Safety/Ethics,This facet measures the extent to which a conversation turn conveys indirect or covert negative feelings or hostility.,The speaker directly expresses their feelings and needs without any hint of aggression or resentment.,"The speaker's tone is somewhat sarcastic or dismissive, but the underlying negative feelings are not strongly evident.","The speaker's language is heavily laced with sarcasm, backhanded compliments, or veiled insults, indicating a strong presence of passive-aggressive behavior.",negative,1.0
Presence of Spiritual Pain,Presence of Spiritual Pain,True,General,This facet measures the degree to which a conversation turn reveals emotional or psychological distress related to spiritual or existential concerns.,"The speaker shows no signs of spiritual pain or distress, and their conversation is free from existential worries.",The speaker mentions some spiritual or existential concerns but does not seem overly troubled by them.,"The speaker's conversation is dominated by expressions of spiritual pain, despair, or existential crisis, indicating a high level of distress.",negative,1.0
Role of Spirituality in Community Involvement,Role of Spirituality in Community Involvement,True,Social,This facet measures how much a conversation turn emphasizes the role of spirituality in engaging with or contributing to community activities.,The speaker does not mention spirituality or its connection to community involvement.,The speaker mentions spirituality as one aspect of their community engagement but does not emphasize it as a primary motivator.,"The speaker's conversation highlights spirituality as a central factor in their community involvement, guiding their actions and decisions.",positive,1.0
Structure,Structure,True,General,"This facet measures the degree to which a conversation turn is organized, logical, and easy to follow.","The speaker's thoughts are highly disorganized, making it difficult to understand their point.",The speaker's conversation is somewhat coherent but lacks clear transitions between ideas.,"The speaker's thoughts are well-organized, logical, and easy to follow, with a clear structure to their conversation.",positive,1.0
Eco-tourism trips,Eco-tourism trips,False,General,,,,,,1.0
Chivalrousness,Chivalrousness,True,Social,"This facet measures the extent to which a conversation turn displays courteous, honorable, and generous behavior, especially towards others.","The speaker shows no consideration for others' feelings or needs, prioritizing their own interests.",The speaker is occasionally courteous but also prioritizes their own needs and desires.,"The speaker consistently displays chivalrous behavior, prioritizing the well-being and dignity of others over their own interests.",positive,1.0
Pilgrimage participation count,Pilgrimage participation count,False,Social,,,,,,1.0
Mindfulness facet: Observing,Mindfulness facet: Observing,True,General,,,,,,1.0
Submissiveness,Submissiveness,True,Behavioral,This facet measures the extent to which a conversation turn indicates a tendency to yield to others' wishes or demands.,The speaker assertively expresses their needs and boundaries without yielding to others.,The speaker sometimes accommodates others but also maintains their own autonomy and assertiveness.,"The speaker consistently prioritizes others' needs over their own, avoiding conflict by yielding to others' demands.",neutral,1.0
Training-cycle length,Training-cycle length,False,General,,,,,,1.0
Sensitiveness,Sensitiveness,True,General,This facet measures the degree to which a conversation turn shows emotional sensitivity and empathy towards others.,"The speaker shows no emotional sensitivity or empathy, being indifferent to others' feelings.",The speaker occasionally acknowledges others' emotions but does not deeply engage with them.,"The speaker's conversation is marked by a high level of emotional sensitivity and empathy, deeply understanding and respecting others' feelings.",positive,1.0
Negative Affect Frequency,Negative Affect Frequency,True,Emotional,"This facet measures how often a conversation turn expresses negative emotions such as anger, fear, or sadness.","The speaker's conversation is devoid of negative emotions, focusing on positive or neutral topics.",The speaker occasionally expresses negative emotions but balances them with positive or neutral statements.,"The speaker's conversation is dominated by expressions of negative emotions, with little to no positive or neutral content.",negative,1.0
Feedback-giving frequency,Feedback-giving frequency,False,General,,,,,,1.0
Dance-cardio sessions,Dance-cardio sessions,False,General,,,,,,1.0
Enthusiasm,Enthusiasm,True,General,"This facet measures the degree to which a conversation turn conveys excitement, interest, or eagerness about a topic.","The speaker shows no enthusiasm, seeming disinterested or apathetic about the topic.","The speaker displays a moderate level of interest, neither highly enthusiastic nor disengaged.","The speaker's conversation is characterized by a high level of enthusiasm, displaying genuine excitement and eagerness about the topic.",positive,1.0
Psychological construct: Social Desirability tendency,Psychological construct: Social Desirability tendency,True,Cognitive,,,,,,1.0
Inattentiveness,Inattentiveness,True,Cognitive,This facet measures the degree to which a conversation turn indicates a lack of attention or focus on the topic at hand.,"The speaker is fully engaged and attentive, maintaining focus on the conversation topic.",The speaker is somewhat distracted but manages to stay on topic most of the time.,"The speaker's conversation is characterized by a significant lack of attention, frequently changing topics or appearing distracted.",negative,1.0
Unassertiveness,Unassertiveness,True,Personality,"This facet measures the extent to which a conversation turn indicates a failure to express one's needs, wants, or opinions in a direct and clear manner.",The speaker is direct and clear in expressing their needs and opinions.,The speaker sometimes struggles to assert themselves but manages to express their needs and opinions to some extent.,"The speaker consistently fails to express their needs, wants, or opinions, avoiding conflict or direct expression.",negative,1.0
Decision-making decisiveness,Decision-making decisiveness,True,General,This facet measures the degree to which a conversation turn reflects the ability to make decisions in a timely and confident manner.,"The speaker is indecisive, struggling to make even simple decisions.",The speaker sometimes hesitates but generally manages to make decisions after some consideration.,"The speaker's conversation is marked by a high level of decisiveness, making choices confidently and without undue hesitation.",positive,1.0
Sense-of-coherence score,Sense-of-coherence score,True,Psychological,"This facet measures the degree to which a conversation turn reflects a sense of comprehensibility, manageability, and meaningfulness in life.","The speaker's conversation indicates a lack of coherence, feeling overwhelmed and without direction.",The speaker occasionally expresses feelings of control and purpose but also experiences uncertainty.,"The speaker's conversation is characterized by a strong sense of coherence, feeling that life is comprehensible, manageable, and meaningful.",positive,1.0
Justice-mindedness,Justice-mindedness,True,General,This facet measures the extent to which a person advocates for fairness and equality in their conversation turn.,"The person shows no concern for fairness or equality, and may even express biased or discriminatory views.","The person occasionally mentions the importance of fairness and equality, but does not elaborate or provide specific examples.","The person consistently emphasizes the need for fairness and equality, providing concrete examples and advocating for the rights of marginalized groups.",positive,1.0
Subscription count,Subscription count,False,General,,,,,,1.0
Depression Symptoms,Depression Symptoms,True,Emotional,"This facet measures the presence of language patterns indicative of depressive symptoms, such as hopelessness or lack of motivation, in a conversation turn.","The person expresses no depressive symptoms, and their language is optimistic and goal-oriented.","The person occasionally expresses negative thoughts or feelings, but they are not pervasive or overwhelming.","The person frequently expresses intense feelings of sadness, hopelessness, or despair, and their language is dominated by negative thoughts and emotions.",negative,1.0
Spatial perception,Spatial perception,True,Cognitive,This facet measures the ability to understand and describe spatial relationships and visual information in a conversation turn.,"The person struggles to describe spatial relationships or visual information, and their language is vague or confusing.","The person can describe basic spatial relationships, but may struggle with more complex or abstract visual information.","The person can accurately and vividly describe complex spatial relationships and visual information, using precise language and imagery.",positive,1.0
Brevity,Brevity,True,Linguistic,This facet measures the ability to convey thoughts and ideas concisely and efficiently in a conversation turn.,"The person's language is overly verbose and rambling, with many unnecessary words or tangents.","The person's language is generally clear and concise, but may occasionally include some unnecessary details or asides.","The person's language is extremely concise and to-the-point, with no unnecessary words or phrases.",positive,1.0
Orderliness,Orderliness,True,General,"This facet measures the extent to which a person's conversation turn is organized, structured, and easy to follow.","The person's language is disorganized and difficult to follow, with many tangents or abrupt changes in topic.","The person's language is generally organized, but may include some minor digressions or transitions that are not entirely smooth.","The person's language is extremely well-organized, with a clear and logical structure that is easy to follow.",positive,1.0
Multiculturalism,Multiculturalism,True,Social,This facet measures the extent to which a person values and respects diverse cultures and perspectives in their conversation turn.,"The person expresses little or no interest in diverse cultures, and may even express biased or stereotypical views.","The person occasionally mentions the importance of cultural diversity, but does not elaborate or provide specific examples.","The person consistently emphasizes the value of diverse cultures and perspectives, providing concrete examples and advocating for inclusivity and respect.",positive,1.0
Creative risk-taking tendency,Creative risk-taking tendency,True,Personality,This facet measures the extent to which a person is willing to take creative risks and explore new ideas in their conversation turn.,"The person is extremely cautious and risk-averse, and their language is dominated by conventional or traditional ideas.","The person occasionally expresses a willingness to take creative risks, but may also express some hesitation or uncertainty.","The person consistently expresses a willingness to take bold creative risks, and their language is characterized by innovative and unconventional thinking.",positive,1.0
Inefficiency,Inefficiency,True,General,"This facet measures the extent to which a person's conversation turn is characterized by unnecessary complexity, redundancy, or waste.","The person's language is extremely efficient, with no unnecessary words or phrases.","The person's language is generally efficient, but may include some minor redundancies or complexities.","The person's language is extremely inefficient, with many unnecessary words, phrases, or tangents that hinder effective communication.",negative,1.0
Network basics,Network basics,True,General,This facet measures the extent to which a person demonstrates a basic understanding of networking concepts and terminology in their conversation turn.,"The person shows little or no understanding of networking concepts, and their language is vague or confusing.","The person demonstrates a basic understanding of networking concepts, but may struggle with more complex or technical information.","The person consistently demonstrates a strong understanding of networking concepts and terminology, using precise language and technical vocabulary.",positive,1.0
Alphabetical filing skills,Alphabetical filing skills,True,Cognitive,This facet measures the extent to which a person can accurately and efficiently organize and retrieve information using alphabetical filing systems.,"The person struggles to organize or retrieve information using alphabetical filing systems, and their language is vague or confusing.","The person can generally organize and retrieve information using alphabetical filing systems, but may make some minor errors or struggle with more complex systems.","The person can extremely efficiently and accurately organize and retrieve information using alphabetical filing systems, with no errors or difficulties.",positive,1.0
Work Styles,Work Styles,True,General,"This facet measures the extent to which a person's conversation turn reflects a productive and effective work style, including traits such as organization, time management, and self-motivation.","The person's language reflects a disorganized and ineffective work style, with many procrastination habits or distractions.","The person's language reflects a generally productive work style, but may include some minor procrastination habits or time management issues.","The person's language reflects an extremely productive and effective work style, with strong organization, time management, and self-motivation skills.",positive,1.0
Character strength: Perseverance,Character strength: Perseverance,True,Behavioral,This facet measures the extent to which a person demonstrates perseverance and persistence in the face of challenges or obstacles in their conversation turn.,"The person shows little or no perseverance, and their language is dominated by negative thoughts or a tendency to give up easily.","The person occasionally expresses a willingness to persevere, but may also express some doubts or uncertainties.","The person consistently demonstrates strong perseverance and persistence, with a growth mindset and a willingness to overcome obstacles and challenges.",positive,1.0
Competition,Competition,True,General,"This facet measures the extent to which a person's conversation turn reflects a competitive mindset, including traits such as a desire to win or outdo others.","The person's language reflects a lack of competitiveness, with a focus on cooperation and mutual support.","The person's language reflects a moderate level of competitiveness, with some emphasis on winning or achieving success, but also a recognition of the importance of teamwork and cooperation.","The person's language reflects an extremely competitive mindset, with a strong desire to win or outdo others, and a willingness to take risks or push boundaries to achieve success.",neutral,1.0
Logical Sequence Identification,Logical Sequence Identification,True,Cognitive,This facet measures the extent to which a person can identify and describe logical sequences or patterns in their conversation turn.,"The person struggles to identify or describe logical sequences, and their language is vague or confusing.","The person can generally identify and describe basic logical sequences, but may struggle with more complex or abstract patterns.","The person can extremely accurately and efficiently identify and describe complex logical sequences, using precise language and logical reasoning.",positive,1.0
Sustainable-transport usage,Sustainable-transport usage,False,General,,,,,,1.0
Hardworking,Hardworking,True,Behavioral,This facet measures the extent to which a person's conversation turn reflects a strong work ethic and a willingness to put in effort and dedication to achieve goals.,"The person's language reflects a lack of motivation or work ethic, with many excuses or justifications for not putting in effort.","The person's language reflects a moderate level of motivation and work ethic, with some emphasis on putting in effort, but also some doubts or uncertainties.","The person's language reflects an extremely strong work ethic, with a willingness to put in extra effort and dedication to achieve goals, and a focus on continuous learning and improvement.",positive,1.0
Emotional-intelligence measure: Impulsiveness,Emotional-intelligence measure: Impulsiveness,True,Cognitive,,,,,,1.0
Dishonesty,Dishonesty,True,Safety/Ethics,This facet measures the degree to which a person is untruthful or deceptive in a conversation turn,The person is transparent and honest in their communication,The person may withhold some information but does not intentionally deceive,The person frequently lies or distorts the truth to achieve their goals,negative,1.0
Preferred epistemology,Preferred epistemology,True,General,This facet measures the person's approach to knowledge and belief formation in a conversation turn,The person relies heavily on authority and tradition,The person considers multiple sources and perspectives but may not critically evaluate them,The person actively seeks out diverse viewpoints and critically evaluates evidence,positive,1.0
Memory for Sounds,Memory for Sounds,True,Linguistic,This facet measures the person's ability to recall and recognize sounds in a conversation turn,The person has difficulty remembering even familiar sounds,The person can recall some sounds but may struggle with nuances or details,The person has an exceptional ability to remember and distinguish between various sounds,positive,1.0
Sportsmanship rating,Sportsmanship rating,True,Social,This facet measures the person's ability to win or lose graciously and respect their opponents in a conversation turn,The person becomes overly aggressive or dismissive when competing,The person is generally respectful but may show some frustration in defeat,The person consistently displays humility in victory and graciousness in defeat,positive,1.0
Immaturity,Immaturity,True,General,This facet measures the degree to which a person exhibits childish or irresponsible behavior in a conversation turn,"The person rarely, if ever, engages in immature behavior",The person sometimes acts immaturely but also shows signs of growth and responsibility,"The person frequently exhibits tantrums, selfishness, or a lack of accountability",negative,1.0
Health-literacy level,Health-literacy level,True,General,This facet measures the person's ability to understand and navigate health information in a conversation turn,The person struggles to understand basic health concepts and terminology,The person can comprehend some health information but may have difficulty applying it,The person has a sophisticated understanding of health concepts and can critically evaluate health information,positive,1.0
Estimating Calculations,Estimating Calculations,True,Cognitive,This facet measures the person's ability to make reasonable estimates and calculations in a conversation turn,The person frequently makes large errors in estimation and calculation,The person can make rough estimates but may struggle with precision or complex calculations,The person consistently makes accurate and reasonable estimates and calculations,positive,1.0
Depression: Feelings of sadness and hopelessness,Depression: Feelings of sadness and hopelessness,True,Emotional,"This facet measures the degree to which a person expresses feelings of sadness, hopelessness, or despair in a conversation turn",The person expresses optimism and a sense of purpose,The person may express some sadness but also shows resilience and coping strategies,"The person frequently expresses overwhelming sadness, hopelessness, or a desire to escape their situation",negative,1.0
Synthesis of information,Synthesis of information,True,Cognitive,This facet measures the person's ability to integrate and summarize complex information in a conversation turn,The person struggles to connect disparate pieces of information,The person can identify some relationships between ideas but may not fully synthesize them,The person consistently demonstrates the ability to integrate and summarize complex information effectively,positive,1.0
Ethical standards,Ethical standards,True,Safety/Ethics,This facet measures the person's adherence to moral principles and values in a conversation turn,The person frequently disregards or violates ethical principles,The person generally acts with integrity but may occasionally compromise their values,The person consistently upholds high ethical standards and acts with integrity,positive,1.0
High-spiritedness,High-spiritedness,True,Emotional,"This facet measures the degree to which a person exhibits enthusiasm, energy, and a positive outlook in a conversation turn",The person appears lethargic or disinterested,The person shows some enthusiasm but may also express negativity or skepticism,"The person consistently displays high energy, optimism, and a positive attitude",positive,1.0
Critical reasoning,Critical reasoning,True,Cognitive,"This facet measures the person's ability to analyze information, identify patterns, and make logical conclusions in a conversation turn",The person frequently jumps to conclusions or fails to consider alternative perspectives,The person can analyze some information but may struggle with complex or nuanced issues,The person consistently demonstrates the ability to analyze information critically and make well-supported conclusions,positive,1.0
Sleep-disorder diagnosis,Sleep-disorder diagnosis,False,General,,,,,,1.0
Collaboration,Collaboration,True,Social,This facet measures the person's ability to work effectively with others towards a common goal in a conversation turn,The person has difficulty working with others and may be overly competitive or dominant,The person can cooperate with others but may struggle with active listening or empathy,"The person consistently demonstrates the ability to collaborate effectively, listening to and valuing the contributions of others",positive,1.0
Precision of Movements,Precision of Movements,True,General,This facet measures the person's ability to make precise and controlled movements in a conversation turn,"The person has significant difficulty with motor control, leading to clumsiness or accidents",The person can make some precise movements but may struggle with fine motor tasks or coordination,The person consistently demonstrates exceptional precision and control in their movements,positive,1.0
Social Boldness,Social Boldness,True,Social,This facet measures the degree to which an individual is willing to take social risks and assert themselves in a conversation turn.,The person is hesitant to contribute to the conversation or share their thoughts and opinions.,"The person participates in the conversation, sharing their thoughts and opinions in a moderate and respectful manner.","The person dominates the conversation, assertively expressing their thoughts and opinions and taking risks to steer the conversation in a particular direction.",positive,1.0
Auditory memory,Auditory memory,True,Linguistic,This facet measures the ability to recall and process auditory information in a conversation turn.,"The person struggles to recall or process auditory information, frequently asking for clarification or repetition.","The person is able to recall and process auditory information with moderate accuracy, occasionally asking for clarification.","The person is able to recall and process auditory information with high accuracy, rarely needing clarification or repetition.",positive,1.0
Organized lifestyle,Organized lifestyle,True,Behavioral,This facet measures the degree to which an individual's conversation turn reflects a structured and organized approach to life.,The person's conversation turn is disorganized and lacks clear goals or priorities.,"The person's conversation turn reflects a moderate level of organization, with some clear goals and priorities.","The person's conversation turn reflects a high level of organization, with clear goals, priorities, and a structured approach to achieving them.",positive,1.0
Skill-endorsements count,Skill-endorsements count,False,General,,,,,,1.0
Mysteriousness,Mysteriousness,True,Personality,This facet measures the degree to which an individual's conversation turn is enigmatic or difficult to understand.,"The person is straightforward and easy to understand, with no attempt to be mysterious or cryptic.","The person occasionally uses vague or ambiguous language, but is generally easy to understand.","The person frequently uses vague or ambiguous language, making it difficult for others to understand their thoughts or intentions.",neutral,1.0
Cultural Identity,Cultural Identity,True,Social,This facet measures the degree to which an individual's conversation turn reflects a strong sense of cultural heritage or identity.,The person does not express a strong sense of cultural identity or heritage in their conversation turn.,"The person occasionally references their cultural heritage or identity, but it is not a dominant theme in their conversation turn.","The person's conversation turn is deeply rooted in their cultural heritage or identity, with frequent references and expressions of pride.",positive,1.0
Intrinsic Motivation,Intrinsic Motivation,True,General,This facet measures the degree to which an individual's conversation turn reflects a genuine interest or passion for a topic.,"The person's conversation turn lacks enthusiasm or interest, with a focus on external rewards or pressures.","The person's conversation turn reflects a moderate level of interest or passion, with some genuine enthusiasm.","The person's conversation turn is characterized by a high level of genuine interest or passion, with a focus on the inherent value of the topic.",positive,1.0
Impartial-mindedness,Impartial-mindedness,True,General,This facet measures the degree to which an individual's conversation turn reflects a fair and unbiased perspective.,"The person's conversation turn is highly biased or one-sided, with a lack of consideration for alternative perspectives.","The person's conversation turn reflects a moderate level of impartiality, with some consideration for alternative perspectives.","The person's conversation turn is characterized by a high level of impartiality, with a careful consideration of multiple perspectives and a commitment to fairness.",positive,1.0
